url,start_s,end_s,score,frame_ms,window_s,stride_s,bandwidth_z,flatness_z,flux_z,crest_db,hf_ratio,dynrange_z,tonality_z,loudness_dbfs,notes,fp_type,fp_bands,fp_hop_s,fp_offset_s,fp_bins_hex
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,172.800,177.152,11.588,23,3.0,0.2,5.44,23.05,1.52,13.3,0.896,-0.88,-23.05,-15.6,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,185.856,191.936,9.007,23,3.0,0.2,5.42,17.42,1.28,13.3,0.682,-0.60,-17.42,-15.9,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Fuck You - Lily Allen (Lyrics).mp3,214.464,217.472,218.235,23,3.0,0.2,-1.86,530.29,-5.53,12.5,0.000,98.01,-530.27,-120.0,"",bandpeak_v1,32,0.02133,2.000,00000000000000000000000000000000000000000000000000000000000000000000000000000000001913020202020202020204050505030503030303030303030303030303030304040505050505050505050505050d05050d0d0508080405050505050505050505080808080808080808080804050505050505050505050d0d0d020202020202020404050505050505050505040404050505050505050504050505050505050505050505050505050d0d0d0d0404050505050505050505050505050504040505050504050505050505050505050d07070202020202020202040505050505050505
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,18.240,21.248,15.953,23,3.0,0.2,6.73,35.63,-0.67,12.6,0.600,-1.69,-35.63,-20.1,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,25.728,28.736,10.911,23,3.0,0.2,7.12,24.31,-0.84,12.7,0.251,-0.17,-24.31,-21.2,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,34.176,37.184,11.677,23,3.0,0.2,5.81,25.58,-0.26,12.7,0.385,-0.06,-25.58,-18.3,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,49.536,52.544,10.114,23,3.0,0.2,6.35,22.09,0.97,12.4,0.229,-0.21,-22.09,-15.5,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,58.368,61.376,9.266,23,3.0,0.2,5.79,19.96,0.61,12.5,0.274,-0.06,-19.96,-15.5,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,71.424,77.120,11.900,23,3.0,0.2,7.14,26.49,-0.37,12.5,0.243,0.78,-26.49,-20.1,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
file://D:\Development\Sonar-Web\SonarVid\Pompeii lyrics- Bastille.mp3,80.832,83.840,8.078,23,3.0,0.2,6.20,16.76,-0.35,12.8,0.247,1.30,-16.76,-20.7,"",bandpeak_v1,32,0.02133,2.000,0309030303090909090903030c030c0d0b09090c09120309030908030309030309030903030303030303030303030303030903030303030303030303030206020302020203030302020303030303020001020703080303030303030303030303050205020202020505030202000202000002020909030308080803030308080d030303080803030303020303030303030303030300030203000203030202050202000000000003030101080303090909030308030203080302050502020502020202010101010002000000080803030308080908110808030303090303030303000903030303030303
